-ί|n15907
προσικνέομαι|n28135
προσιππεύω|n28137
προσιστορέω|n28139
προσιτέος|n28141
προσκάθημαι|n28144
προσκάρδιος|n28150
προσκαίω|n28148
προσκαθέζομαι|n28142
προσκαθέλκω|n28143
προσκαθίζω|n28145
προσκαθίστημι|n28146
προσκαλέω|n28149
προσκαρτέρησις|n28152
προσκαρτερέω|n28151
προσκατάβλημα|n28154
προσκαταβαίνω|n28153
προσκαταγιγνώσκω|n28155
προσκαταισχύνω|n28156
προσκατακλείω|n28157
προσκαταλέγω|n28158
προσκαταλείπω|n28159
προσκαταλλάττομαι|n28160
προσκατανέμω|n28161
προσκαταριθμέω|n28162
προσκατασκευάζω|n28163
προσκατασύρω|n28164
προσκατατάσσω|n28165
προσκατατίθημι|n28166
προσκατηγορέω|n28167
προσκερδαίνω|n28169
προσκεφάλαιον|n28170
προσκηδής|n28171
προσκηρυκεύομαι|n28172
προσκηρύσσω|n28173
προσκιγκλίζομαι|n28174
προσκλάομαι|n28175
προσκλίνω|n28178
προσκληρόομαι|n28176
προσκλύζω|n28180
προσκνάομαι|n28181
προσκοιμίζομαι|n28182
προσκοινωνέω|n28183
προσκολλάω|n28184
προσκομίζω|n28185
προσκοπέω|n28187
προσκοπή1|@
προσκοπή2|@
προσκοπή|@
προσκορής|n28192
προσκοτόω|n28193
προσκρούω|n28197
προσκτάομαι|n28198
προσκτίζω|n28199
προσκυλίνδω|n28200
προσκυνέω|n28201
προσκυνητής|n28203
προσκυρέω|n28205
προσκόπτω|n28191
προσκύνησις|n28202
προσκύπτω|n28204
προσλάζυμαι|n28208
προσλάμπω|n28211
προσλέγομαι|n28212
προσλαγχάνω|n28207
προσλαλέω|n28209
προσλαμβάνω|n28210
προσλείπω|n28213
προσλεύσσω|n28214
προσληπτέος|n28215
προσλιπάρησις|n28217
προσλιπαρέω|n28216
προσλογίζομαι|n28218
προσλογιστέος|n28219
προσμάσσω|n28223
προσμάχομαι|n28224
προσμένω|n28226
προσμαθητέος|n28220
προσμανθάνω|n28221
προσμαρτυρέω|n28222
προσμείγνυμι|n28229
προσμειδιάω|n28225
προσμεταπέμπομαι|n28227
προσμηχανάομαι|n28228
προσμισθόω|n28231
προσμολεῖν|n28232
προσμυθέομαι|n28234
προσμυθεύω|n28235
προσμυθολογέω|n28236
προσμυθοποιέω|n28237
προσμύρομαι|n28238
προσνέμω|n28240
προσνέω|n28243
προσνήχομαι|n28244
προσνίσσομαι|n28245
προσναυπηγέω|n28239
προσνεύω|n28242
προσνοέω|n28246
προσνωμάω|n28247
προσοίχομαι|n28259
προσοδεύομαι|n28248
προσοδικός|n28249
προσοικέω|n28255
προσοικειόω|n28254
προσοικοδομέω|n28256
προσοιστέος|n28258
προσοκέλλω|n28260
προσολοφύρομαι|n28261
προσομαρτέω|n28262
προσομιλέω|n28263
προσομοιόω|n28266
προσομολογέω|n28267
προσομολογία|n28268
προσομόργνυμι|n28269
προσονομάζω|n28271
προσοράω|n28272
προσορέγομαι|n28273
προσορίζω|n28275
προσορμάω|n28276
προσορμίζομαι|n28277
προσορχέομαι|n28280
προσουδίζω|n28281
προσουρέω|n28282
προσοφείλω|n28284
προσοφλισκάνω|n28285
προσοχή|n28286
προσπάσχω|n28302
προσπέμπω|n28306
προσπέτομαι|n28313
προσπήγνυμι|n28315
προσπίλναμαι|n28316
προσπίπτω|n28317
προσπίτνω|n28318
προσπαίζω|n28289
προσπαλαίω|n28291
προσπαλτόθεν|n28292
προσπαρέχω|n28298
προσπαραγράφω|n28293
προσπαρακαλέω|n28294
προσπαραμένω|n28295
προσπαρασκευάζω|n28296
προσπαρατίθημι|n28297
προσπαροξύνω|n28299
προσπαρτός|n28300
προσπασσαλεύω|n28301
προσπελάζω|n28305
προσπεριβάλλω|n28307
προσπεριγίγνομαι|n28308
προσπεριλαμβάνω|n28309
προσπεριοδεύω|n28310
προσπεριποιέω|n28311
προσπερονάω|n28312
προσπεύθομαι|n28314
προσπλάζω|n28319
προσπλάσσω|n28320
προσπλέκω|n28322
προσπλέω|n28323
προσπληρόω|n28324
προσπλωτός|n28325
προσπνέω|n28326
προσποίημα|n28328
προσποίησις|n28329
προσποιέω|n28327
προσποιητικός|n28330
προσποιητός|n28331
προσπολέω|n28334
προσπολεμέω|n28332
προσπολεμόομαι|n28333
προσπορίζω|n28336
προσπορπατός|n28337
προσπτήσσω|n28340
προσπταίω|n28339
προσπτύσσω|n28342
προσπτύω|n28343
προσράπτω|n28346
προσρέω|n28347
προσρήγνυμι|n28348
προσρίπτω|n28352
προσραίνω|n28344
προσραπτέος|n28345
προσρητέος|n28351
προσσέβω|n28354
προσσαίνω|n28353
προσσημαίνω|n28355
προσσοτέρω|n28357
προσστάζω|n28358
προσστέλλω|n28361
προσσταυρόω|n28359
προσστείχω|n28360
προσστρατοπεδεύω|n28362
προσσυκοφαντέω|n28363
προσσυμβάλλομαι|n28364
προσσυνοικέω|n28365
προσσφάζω|n28366
προσσωρεύω|n28367
προστάσσω|n28376
προστάτης|n28381
προστάτις|n28383
προστέλλω|n28388
προστένω|n28389
προστέρπω|n28392
προστήκομαι|n28394
προστίθημι|n28395
προστίμημα|n28398
προστακτέος|n28369
προστακτικός|n28370
προστακτός|n28371
προσταλαιπωρέω|n28372
προστασία|n28374
προστατέω|n28379
προστατήριος|n28380
προστατεία|n28377
προστατεύω|n28378
προστατικός|n28382
προσταυρόω|n28384
προστειχίζω|n28385
προστεκταίνομαι|n28386
προστελέω|n28387
προστερνίδιον|n28390
προστεχνάομαι|n28393
προστιλάω|n28396
προστιμάω|n28397
προστρέπω|n28400
προστρέφω|n28401
προστρέχω|n28402
προστρίβω|n28403
προστραγῳδέω|n28399
προστροπή|n28406
προστρόπαιος|n28405
προστυγχάνω|n28408
προστῷον|n28409
προσυβρίζω|n28410
προσυγγίγνομαι|n28411
προσυμμίσγω|n28412
προσυνοικέω|n28413
προσυπάρχω|n28414
προσυπέχω|n28415
προσφάγιον1|n28416
προσφάγιον|n28416
προσφάζω|n28418
προσφέρω|n28422
προσφίλεια|n28431
προσφαίνομαι|n28419
προσφερής|n28421
προσφευκτέος|n28424
προσφεύγω|n28423
προσφθέγγομαι|n28426
προσφθεγκτός|n28427
προσφθονέω|n28430
προσφιλής|n28432
προσφιλοκαλέω|n28433
προσφιλονεικέω|n28434
προσφιλοσοφέω|n28435
προσφοιτάω|n28436
προσφορά|n28437
προσφορέω|n28438
προσφυής|n28441
προσφωνέω|n28443
προσφωνήεις|n28444
προσφόρημα|n28439
προσφύω|n28442
προσφώνημα|n28445
προσφώνησις|n28446
προσχάσκω|n28449
προσχέω|n28451
προσχαίρω|n28447
προσχαρίζομαι|n28448
προσχεθεῖν|n28450
προσχρίμπτω|n28455
προσχρῄζω|n28454
προσχωρέω|n28459
προσχώννυμι|n28458
προσχώρησις|n28460
προσψαύω|n28463
προσψηφίζομαι|n28464
προσψύχω|n28465
προσωνέομαι|n27129
προσωνυμία|n28469
προσωπεῖον|n28470
προσωπολήπτης|n28472
προσωποληπτέω|n28471
προσωποληψία|n28473
προσωτέρω|n28476
προσωφέλημα|n28478
προσωφέλησις|n28479
προσωφελέω|n28477
προσωφελητέος|n28480
προσόδιος|n28250
προσόζω|n28252
προσόμνυμι|n28264
προσόμοιος|n28265
προσόμουρος|n28270
προσόρμισις|n28278
προσόψιος|n28287
προσᾴδω|n27861
προσῳδία|n28466
προσῳδός|n28467
προτάσσω|n28489
προτέγιον|n28490
προτέλειος|n28492
προτέμνω|n28496
προτένθης|n28498
προτέρημα|n28501
προτέρω|n28503
προτέρωσε|n28504
προτίθημι|n28506
προτίμησις|n28508
προτίω|n28511
προταινί|n28482
προτακτέος|n28483
προταμιεύω|n28486
προταμιεῖον|n28485
προταρβέω|n28487
προτείνω|n28491
προτελέω|n28493
προτελίζω|n28494
προτεμένισμα|n28495
προτενθεύω|n28497
προτερέω|n28500
προτεραῖος|n28499
προτεύχω|n28505
προτιμάω|n28507
προτιμωρέω|n28509
προτιόσσομαι|n28510
προτολμάομαι|n28512
προτομή|n28513
προτονίζω|n28514
προτοῦ|n28516
προτρέπω|n28518
προτρέχω|n28519
προτρεπτικός|n28517
προτροπάδην|n28521
προτροπή|n28522
προτυγχάνω|n28523
προτυπόω|n28524
προτύπτω|n28525
προυπάρχω|n28527
προυπαρχή|n28526
προυπεξορμάω|n28528
προυποβάλλω|n28529
προυπογράφω|n28530
προυπολαμβάνω|n28532
προυπόκειμαι|n28531
προυσελέω|n28534
προυφαιρέω|n28535
προφέρω|n28542
προφήτης|n28546
προφαίνω|n28536
προφανής|n28537
προφασίζομαι|n28539
προφερής|n28541
προφεύγω|n28543
προφητεία|n28544
προφητεύω|n28545
προφητικός|n28547
προφθάνω|n28549
προφθίμενος|n28550
προφοβέομαι|n28551
προφοβητικός|n28552
προφορέομαι|n28553
προφράζω|n28554
προφυλάσσω|n28560
προφυλακή|n28557
προφυλακὶς|n28558
προφυράω|n28561
προφυτεύω|n28562
προφωνέω|n28563
προφύλαξ|n28559
προφῆτις|n28548
προχέω|n28570
προχαίρω|n28564
προχαλκεύω|n28565
προχειρίζω|n28567
προχειροτονέω|n28569
προχοή|n28573
προχοίς|n28574
προχορεύω|n28576
προχρίω|n28577
προχυτός|n28582
προχωρέω|n28584
προχόη|n28572
προχύται|n28580
προχύτης|n28581
προωθέω|n28585
προόμνυμι|n27780
προώλης|n28586
προὐννέπω|n27527
προὔργου|n28533
προᾴδω|n27327
πρυλέες|n28588
πρυμνήσιος|n28593
πρυμνήτης|n28594
πρυμναῖος|n28589
πρυμνεύς|n28591
πρυμνοῦχος|n28598
πρυμνόθεν|n28595
πρυμνόν|n28596
πρυμνός|n28597
πρυμνώρεια|n28599
πρυτανεία2|n28600
πρυτανεία|n28600
πρυτανεύω|n28602
πρυτανεῖον|n28601
πρωί|n28610
πρωθήβης|n28605
πρωιζός|n28606
πρωινός|n28608
πρωκτός|n28611
πρωτάγγελος|n28619
πρωτάγριον|n28620
πρωταγωνιστέω|n28621
πρωταγωνιστής|n28622
πρωτεσίλαος|n28626
πρωτεσιλάειον|n28625
πρωτεύω|n28627
πρωτεῖον|n28624
πρωτηρότης|n28628
πρωτοκαθεδρία|n28633
πρωτοκλισία|n28634
πρωτοκτόνος|n28635
πρωτοκύων|n28636
πρωτοπήμων|n28640
πρωτοπορεία|n28642
πρωτοστάτης|n28643
πρωτοτόκια|n28644
πρωτοτόκος|n28645
πρωτόβολος|n28630
πρωτόγονος|n28631
πρωτόζυξ|n28632
πρωτόλεια|n28637
πρωτόμαντις|n28638
πρωτόμορος|n28639
πρωτόπλους|n28641
πρωτότοκος|n28646
πρωτότομος|n28647
πρωὐδᾶν|n28648
πρό|n27805
πρόβασις|n27393
πρόβατον|n27401
πρόβημα|n27404
πρόβλημα|n27408
πρόβλητος|n27411
πρόβολος1|n27418
πρόβολος|n27418
πρόβουλος|n27425
πρόγνωσις|n27436
πρόγονος|n27437
πρόγραμμα|n27438
πρόδηλος|n27451
πρόδικος|n27471
πρόδομος1|@
πρόδομος2|@
πρόδομος|@
πρόδοσις|n27481
πρόδοτος|n27485
πρόδουλος|n27486
πρόδρομος|n27488
πρόεδρος|n27493
πρόειμι1|@
πρόειμι2|@
πρόειμι|@
πρόεσις|n27567
πρόθεσις|n27588
πρόθρονος|n27594
πρόθυμα|n27597
πρόθυμος|n27601
πρόθυρον|n27603
πρόκα|n27624
πρόκακος|n27617
πρόκειμαι|n27661
πρόκλησις|n27671
πρόκλυτος|n27674
πρόκοιτος|n27678
πρόκριμα|n27686
πρόκριτος|n27688
πρόκροσσοι|n27689
πρόκωπος|n27696
πρόλογος|n27705
πρόμαλος|n27711
πρόμαντις|n27716
πρόμαχος|n27722
πρόμοιρος|n27744
πρόμος|n27746
πρόναος|n27748
πρόνοια|n27757
πρόνους|n27763
πρόξ|n27771
πρόξενος|n27767
πρόοδος1|@
πρόοδος2|@
πρόοδος|@
πρόοιδα|n27775
πρόοπτος|n27783
πρόοψις|n27790
πρόπαλαι|n27794
πρόπαππος|n27795
πρόπαρ|n27797
πρόπας|n27801
πρόπειρα|n27807
πρόπεμπτος|n27808
πρόπλους|n27822
πρόπολος|n27829
πρόποσις|n27837
πρόπους|n27839
πρόπρυμνα|n27844
πρόπυλον|n27846
πρόπυργος|n27848
πρόρρησις|n27850
πρόρρητος|n27851
πρόρριζος|n27852
πρός|n28303
πρόσβασις|n27947
πρόσβορρος|n27956
πρόσγειος|n27958
πρόσδεγμα|n27965
πρόσδετος|n27968
πρόσεδρος|n28002
πρόσειλος|n28008
πρόσειμι1|@
πρόσειμι2|@
πρόσειμι|@
πρόσεξις|n28046
πρόσεργον|n28076
πρόσηβος|n28101
πρόσημαι|n28112
πρόσθεν|n28120
πρόσθεσις|n28121
πρόσθετος|n28123
πρόσθημα|n28126
πρόσθιος|n28128
πρόσκαιρος|n28147
πρόσκειμαι|n28168
πρόσκλησις|n28177
πρόσκλισις|n28179
πρόσκομμα|n28186
πρόσκοπος|n28190
πρόσκρανον|n28194
πρόσκρουσις|n28195
πρόσκρουσμα|n28196
πρόσκωπος|n28206
πρόσμιξις|n28230
πρόσμορος|n28233
πρόσνευσις|n28241
πρόσοδος|n28251
πρόσοιδα|n28253
πρόσοικος|n28257
πρόσορθρος|n28274
πρόσορμος|n28279
πρόσουρος|n28283
πρόσοψις|n28288
πρόσπαιος|n28290
πρόσπεινος|n28304
πρόσπλατος|n28321
πρόσπολος|n28335
πρόσπταισμα|n28338
πρόσπτυγμα|n28341
πρόσρημα|n28349
πρόσρησις|n28350
πρόσσοθεν|n28356
πρόσταγμα|n28368
πρόσταξις|n28373
πρόστασις|n28375
πρόστερνος|n28391
πρόστριμμα|n28404
πρόστροπος|n28407
πρόσφαγμα|n28417
πρόσφατος|n28420
πρόσφημι|n28425
πρόσφθεγμα|n28428
πρόσφθογγος|n28429
πρόσφορος|n28440
πρόσχημα|n28452
πρόσχισμα|n28453
πρόσχυσις|n28456
πρόσχωμα|n28457
πρόσχωρος|n28461
πρόσχωσις|n28462
πρόσω|n28475
πρόσωθεν|n28468
πρόσωπον|n28474
πρόταγμα|n28481
πρότακτος|n28484
πρότασις|n28488
πρότερος|n28502
πρότονοι|n28515
πρότριτα|n28520
πρόφαντος|n28538
πρόφασις|n28540
πρόφρασσα|n28555
πρόφρων|n28556
πρόχειλος|n28566
πρόχειρος|n28568
πρόχνυ|n28571
πρόχοος|n28575
πρόχρονος|n28578
πρόχυσις|n28579
πρόχωλος|n28583
πρόωρος|n28587
πρύμνα|n28590
πρύμνηθεν|n28592
πρύτανις|n28603
πρώην|n28604
πρώιμος|n28607
πρώιος|n28609
πρών|n28612
πρώξ|n28613
πρώταρχος|n28623
πρώτιστος|n28629
πρᾶγμα|n27221
πρᾶγος|n27229
πρᾶξις|n27239
πρᾶος|n27241
πρᾶσις|n27246
πρᾶτος|n27255
πρῖνος|n27306
πρῳράτης|n28617
πρῳρατεύω|n28616
πρῳρεύς|n28618
πρῴραθεν|n28614
πρῷρα|n28615
πτάξ|n28652
πτάρνυμαι|n28654
πτέρινος|n28656
πτέρνα|n28658
πτέρυξ|n28675
πτέρωμα|n28677
πτέρωσις|n28678
πτήσσω|n28683
πτίλον|n28684
πτίσσω|n28688
πταίρω|n28649
πταίω|n28651
πταρμός|n28653
πταῖσμα|n28650
πτελέα|n28655
πτερίσκος|n28657
πτερνογλύφος|n28659
πτερνοτρώκτης|n28660
πτερνοφάγος|n28661
πτεροδόνητος|n28662
πτεροποίκιλος|n28665
πτερορρυέω|n28667
πτεροφυέω|n28669
πτεροφόρος|n28668
πτεροφύτωρ|n28670
πτερυγίζω|n28672
πτερυγωτός|n28674
πτερωτός|n28679
πτερόεις|n28663
πτερόν|n28664
πτερόπους|n28666
πτερόω|n28671
πτερύγιον|n28673
πτερύσσομαι|n28676
πτηνολέτις|n28680
πτηνός|n28681
πτιλωτός|n28686
πτιλόνωτος|n28685
πτισάνη|n28687
πτιστής|n28689
πτοέω|n28691
πτολίεθρον|n28695
πτολίπορθος|n28698
πτολεμαίς|n28694
πτολεμαικός|n28693
πτολιπόρθης|n28696
πτολιπόρθιος|n28697
πτυκτός|n28702
πτυρτικός|n28706
πτυχή|n28708
πτωκάς|n28710
πτωσκάζω|n28715
πτωχίστερος|n28720
πτωχεία|n28717
πτωχεύω|n28718
πτωχικός|n28719
πτωχοποιός|n28722
πτωχόμουσος|n28721
πτωχός|n28723
πτόα|n28690
πτόησις|n28692
πτόλις|n28699
πτόρθος|n28700
πτύγμα|n28701
πτύξ|n28703
πτύον|n28704
πτύρομαι|n28705
πτύσσω|n28707
πτύω|n28709
πτώξ|n28712
πτώσιμος|n28713
πτώσσω|n28716
πτῆσις|n28682
πτῶμα|n28711
πτῶσις|n28714
πυέλος|n28739
πυανέψια|n28724
πυανεψιών|n28725
πυγή|n28729
πυγίδιον|n28730
πυγαῖος|n28727
πυγμάχος|n28734
πυγμή|n28735
πυγμαχέω|n28732
πυγμαχία|n28733
πυγμαῖος|n28731
πυγοστόλος|n28736
πυγούσιος|n28737
πυγών|n28738
πυθία|n28746
πυθαγορίζω|n28742
πυθαγόρας|n28740
πυθαγόρειος|n28741
πυθαεύς|n28743
πυθαιστής|n28744
πυθιάς|n28747
πυθικός|n28748
πυθιονίκης|n28749
πυθιόνικος|n28750
πυθμήν|n28753
πυθοχρήστης|n28758
πυθοῖ|n28754
πυθωνόθεν|n28763
πυθόκραντος|n28755
πυθόμαντις|n28756
πυθόνικος|n28757
πυθόχρηστος|n28759
πυθώ|n28766
πυθώδε|n28760
πυθών|n28764
πυθῶθεν|n28761
πυθῶνάδε|n28762
πυκάζω|n28769
πυκαείς|n28768
πυκιμηδής|n28771
πυκινόφρων|n28772
πυκνίτης|n28773
πυκνορράξ|n28775
πυκνόπτερος|n28774
πυκνός1|n28776
πυκνός|n28776
πυκνόστικτος|n28777
πυκνότης|n28778
πυκνόω|n28779
πυκτίς1|@
πυκτίς2|@
πυκτίς|@
πυκτεύω|n28781
πυκτικός|n28783
πυλάρτης|n28793
πυλίς|n28800
πυλαία|n28788
πυλαγορέω|n28786
πυλαγόρης|n28787
πυλαικός|n28789
πυλαιμάχος|n28790
πυλαωρός|n28795
πυλαῖος|n28791
πυληγενής|n28796
πυληγόρος|n28797
πυληδόκος|n28798
πυλοιγενής|n28802
πυλουρός|n28806
πυλωρέω|n28810
πυλωρός|n28811
πυλόθεν|n28801
πυλόνδε|n28803
πυλόω|n28807
πυλών|n28809
πυλᾶτις|n28794
πυματηγόρος|n28812
πυνθάνομαι|n28815
πυξίον|n28817
πυξίς|n28818
πυρά1|n28828
πυρά|n28828
πυράγρα|n28823
πυρέσσω|n28847
πυρή|n28852
πυρήν|n28851
πυρήνεμος|n28850
πυρήφατος|n28854
πυρία|n28857
πυρίδαπτος|n28862
πυρίκαυστος|n28866
πυρίληπτος|n28869
πυρίπνους|n28874
πυρίσπαρτος|n28876
πυρίστακτος|n28877
πυρίτης1|n28878
πυρίτης|n28878
πυρίφλεκτος|n28883
πυρίχη|n28884
πυρίχρως|n28885
πυραγρέτης|n28824
πυρακτέω|n28825
πυραμίς|n28826
πυραμοῦς|n28827
πυραυγής|n28829
πυργήρης|n28832
πυργίδιον|n28833
πυργηδόν|n28830
πυργηρέομαι|n28831
πυργοδάικτος|n28835
πυργομαχέω|n28836
πυργοφορέω|n28838
πυργοφόρος|n28839
πυργοφύλαξ|n28840
πυργόω|n28841
πυργώδης|n28842
πυργῶτις|n28844
πυρδαής|n28845
πυρετός|n28848
πυρεύς|n28849
πυρεῖον|n28846
πυρητόκος|n28853
πυρηφόρος|n28855
πυριάη|n28856
πυριατήριον|n28858
πυριγενέτης|n28859
πυριγενής|n28860
πυριγόνος|n28861
πυριηκής|n28863
πυριθαλπής|n28864
πυρικαής|n28865
πυρικοίτης|n28867
πυριλαμπής|n28868
πυριμανέω|n28870
πυριπνέων|n28873
πυρισμάραγος|n28875
πυριτρόφος|n28879
πυριφλέγων|n28882
πυριφλεγέθων|n28880
πυριφλεγής|n28881
πυρκαιά|n28886
πυρναῖος|n28887
πυροβόλος|n28889
πυρογενής2|n28890
πυρογενής|n28890
πυροκλοπία|n28892
πυρολόγος|n28893
πυροπωλέω|n28894
πυροπώλης|n28895
πυρορραγής|n28896
πυροφόρος2|n28898
πυροφόρος|n28898
πυρπάλαμος|n28901
πυρπαλαμάω|n28900
πυρπολέω|n28904
πυρπόλημα|n28905
πυρπόλος|n28906
πυρράζω|n28907
πυρρίχη|n28909
πυρρίχιος|n28911
πυρρικός|n28908
πυρριχίζω|n28910
πυρριχιστής|n28912
πυρρογένειος|n28914
πυρροκόραξ|n28916
πυρροπίπης|n28918
πυρρόθριξ|n28915
πυρρόομαι|n28917
πυρρός|n28919
πυρρότριχος|n28920
πυρσαίνω|n28921
πυρσεύω|n28922
πυρσοβόλος|n28923
πυρσοτόκος|n28926
πυρσόνωτος|n28924
πυρσός1|n28925
πυρσός|n28925
πυρσώδης|n28927
πυρφορέω|n28928
πυρφόρος|n28929
πυρωπός|n28931
πυρόεις|n28891
πυρός|n28897
πυρόω|n28899
πυρώδης2|n28930
πυρώδης|n28930
πυτίνη|n28934
πυτιναῖος|n28933
πυός|n28821
πω|n28959
πωγωνοφόρος|n28936
πωγώνιον|n28935
πωλέομαι|n28940
πωλέω|n28943
πωλίον|n28949
πωλεία|n28938
πωλεύω|n28942
πωλητήριον|n28946
πωλητής|n28947
πωλικός|n28948
πωλοδάμνης|n28951
πωλοδαμνέω|n28950
πωλομάχος|n28952
πωλοτρόφος|n28954
πωμάζω|n28957
πωρόω|n28964
πως|n28967
πωτάομαι|n28969
πόα|n26509
πόδαργος|n26517
πόθεν|n26541
πόθι|n26546
πόθοδος|n26548
πόθος|n26549
πόκος|n26621
πόλεμος|n26641
πόλεμόνδε|n26638
πόλινδε|n26654
πόλις|n26666
πόλισμα|n26665
πόλος|n26695
πόμπιμος|n27047
πόνημα|n27054
πόνος|n27064
πόντιος|n27068
πόντισμα|n27069
πόντονδε|n27073
πόντος|n27079
πόπανον|n27081
πόπαξ|n27082
πόποι|n27084
πόρευμα|n27090
πόρθησις|n27096
πόρθμευμα|n27100
πόριμος|n27107
πόρις|n27109
πόρκης|n27112
πόρνη|n27116
πόρος|n27123
πόρπαμα|n27124
πόρπαξ|n27125
πόρπη|n27127
πόρταξ|n27131
πόρτις|n27132
πόρω|n27145
πός|n27146
πόσε|n27154
πόσθη|n27155
πόσθων|n27156
πόσις1|@
πόσις2|@
πόσις|@
πόσος|n27162
πόστος|n27167
πότε|n27182
πότερος|n27183
πότημα1|n27186
πότημα|n27186
πότης|n27190
πότιμος|n27200
πότμος|n27207
πότνα|n27208
πότνια|n27211
πότος|n27215
πύανος|n28726
πύγαργος|n28728
πύθια|n28745
πύθιον|n28751
πύθιος|n28752
πύθω|n28767
πύθων|n28765
πύκα|n28770
πύκνωμα|n28780
πύκτης|n28782
πύλαι|n28792
πύλη|n28799
πύλος|@
πύλωμα|n28808
πύματος|n28813
πύνδαξ|n28814
πύξ1|n28820
πύξ|n28820
πύξινος|n28816
πύξος|n28819
πύππαξ|n28822
πύργινος|n28834
πύργος|n28837
πύργωμα|n28843
πύρινος1|@
πύρινος2|@
πύρινος|@
πύρνον|n28888
πύρπνους|n28902
πύρριχος|n28913
πύστις|n28932
πώγων|n28937
πώλειος|n28939
πώλευσις|n28941
πώλης|n28945
πώλησις|n28944
πώμαλα|n28958
πώποτε|n28960
πώρινος|n28962
πώρωσις|n28965
πώτημα|n28970
πᾶγος|n24058
πᾶμα|n24271
πᾶς1|n25198
πᾶς|n25198
πῆ|n26155
πῆγμα|n26108
πῆμα|n26143
πῆξις|n26153
πῆχυς|n26165
πῖ|n26245
πῖαρ|n26168
πῖδαξ|n26173
πῖλος|n26211
πῖν|n26237
πῖος|n26244
πῖσα|n26250
πῖσος|n26254
πῦρ|n28903
πῶ1|n28961
πῶ|n28961
πῶλος|n28953
πῶμα1|@
πῶμα2|@
πῶμα|@
πῶρος|n28963
πῶς1|@
πῶς2|@
πῶς|@
πῶυ|n28971
ῤάριον|n29028
ῤᾶρος|n29029
σάββατον|n29251
σάγαρις|n29253
σάγμα|n29262
σάγος|n29263
σάκκος|n29272
σάκος2|n29273
σάκος|n29273
σάκτης|n29274
σάκτωρ|n29275
σάλασσα|n29281
σάλος|n29284
σάλπιγξ|n29287
σάμαινα|n29289
σάμβαλον|n29292
σάμη|n29295
σάμος|n29297
σάν|n29311
σάνδαλον|n29302
σάνδυξ|n29306
σάος|n29312
σάπφειρος|n29316
σάρδεις|n29320
σάρδιον|n29321
σάρισα|n29326
σάρκινος|n29331
σάρξ|n29337
σάρον|n29338
σάτον|n29343
σάτρα|n29347
σάττω|n29348
σάτυρος|n29351
σάφα|n29362
σάω1|n29370
σάω|n29370
σέβας|n29377
σέβασμα|n29376
σέβομαι|n29381
σέβος|n29382
σέβω|n29383
σέλας|n29404
σέλινον|n29413
σέλμα|n29416
σέρις|n29432
σέρφος|n29433
σήκωμα|n29443
σήμαντρον|n29449
σήμερον|n29458
σήπω|n29463
σήρ|n29466
σής|n29474
σήσαμον|n29472
σίαλον|n29482
σίαλος|n29483
σίβυλλα|n29484
σίγλος|n29500
σίδη|n29504
σίδηρος|n29521
σίδιον|n29532
σίζω|n29536
σίκερα|n29546
σίκιννις|n29547
σίκυος|n29549
σίλι|n29554
σίλλος|n29556
σίλλυβος|n29557
σίλουρος|n29558
σίλφη|n29559
σίλφιον|n29560
σίμβλος|n29564
σίμωμα|n29571
σίναπι|n29575
σίνις|n29579
σίνομαι|n29580
σίνος|n29581
σίντης|n29582
σίντιες|n29583
σίντωρ|n29584
σίνων|n29585
σίον|n29589
σίπυδνος|n29590
σίραιον|n29592
σίσυμβρον|n29595
σίσυρνα|n29598
σίσυφος|n29601
σίτησις|n29613
σίττα|n29639
σίφνιος|n29644
σίφνος|n29645
σίφων|n29646
σαίνω|n29266
σαίρω2|n29267
σαίρω|n29267
σαβάζιος|n29244
σαβάκτης|n29246
σαβακός|n29245
σαβαχθανί|n29247
σαβαώθ|n29248
σαββατίζω|n29249
σαββατισμός|n29250
σαβοῖ|n29252
σαγή|n29260
σαγήνη|n29257
σαγηναῖος|n29254
σαγηνευτήρ|n29255
σαγηνεύω|n29256
σαγηνοβόλος|n29258
σαγηνόδετος|n29259
σαγηφορέω|n29261
σαδδουκαῖοι|n29264
σαθρός|n29265
σακέσπαλος|n29268
σακεσφόρος|n29269
σακκίον|n29270
σακκογενειοτρόφος|n29271
σακχυφάντης|n29276
σαλάκων|n29277
σαλάσσω|n29282
σαλαμίνιος|n29279
σαλαμίς|n29280
σαλαμιναφέτης|n29278
σαλεύω|n29283
σαλπίζω|n29288
σαλπιγγολογχυπηνάδαι|n29285
σαλπιγκτής|n29286
σαμαρεία|n29290
σαμαρείτης|n29291
σαμβυκιστής|n29294
σαμβύκη|n29293
σαμοθρᾴκη|n29296
σαμπῖ|n29298
σαμφόρης|n29299
σανίδιον|n29307
σανίδωμα|n29309
σανίς|n29310
σανδάλιον|n29300
σανδαλίσκος|n29301
σανδαράκη|n29303
σανδαράκινος|n29304
σανδαρακουργεῖον|n29305
σανιδόω|n29308
σαπρία|n29313
σαπρός|n29314
σαπρότης|n29315
σαπφώ|n29317
σαργάνη|n29318
σαρδάνιος|n29319
σαρδόνιον|n29322
σαρδόνιος|n29323
σαρδόνυξ|n29324
σαρδώ|n29325
σαρκάζω|n29327
σαρκάω|n29328
σαρκίζω|n29329
σαρκικός|n29330
σαρκολιπής|n29332
σαρκοπαγής|n29333
σαρκοφάγος|n29334
σαρκόω|n29335
σαρκώδης|n29336
σαρπηδών|n29340
σαρόω|n29339
σατάν|n29341
