-ί|iota demonstrativum
τηλία|a board or table with a raised edge, a baker's board
τηλίκος|of such an age, so old or so young
τηλαυγής|far-shining, far-beaming
τηλεβόλος|striking from afar
τηλεδαπός|from a far country
τηλεθάω|luxuriant-growing, blooming, flourishing
τηλεκλειτός|far-famed
τηλεκλητός|summoned from afar
τηλεκλυτός|= τηλεκλειτός, Hom.
τηλεμάχος|fighting from afar.
τηλεσκόπος|far-seeing
τηλεφανής|appearing afar, far-seen, conspicuous
τηλικοῦτος|= τηλικόσδε
τηλικόσδε|of such an age
τηλοπέτης|far-flying
τηλορός|= τηλουρός, Eur.
τηλοτάτω|farthest away
τηλουρός|with distant boundaries
τηλοῦ|afar, far off or away, in a far country
τηλωπός|seen from afar, far away
τηλόθεν|from afar, from a foreign land
τηλόθι|c. gen., τηλόθι πάτρης Il.
τηλόσε|to a distance, far away
τηλύγετος|an only child, a darling child
τημελέω|to protect, look after
τημοῦτος|= τημόσδε, τῆμος, Hes.
τημόσδε|= τῆμος, Theocr.
τηνάλλως|in the way
τηνίκα|at that time, then
τηνεῖ|there
τηνικάδε|at this time of day, so early
τηνικαῦτα|at that time, then
τηνόθι|in that case, then
τηνῶ|there
τηνῶθεν|adverb of τῆνος, doric for ἐκεῖθεν, Ar., Theocr.
τηξιμελής|wasting the limbs
τηρέω|to watch over, protect, guard
τηρητέος|one must watch
τηρός|a warden, guard
τητάομαι|to be in want, suffer want
τηύσιος|idle, vain, undertaken to no purpose
τιάρα|a tiara
τιαροειδής|shaped like or like a tiara
τιθάς|barn-door
τιθήνη|a nurse
τιθαιβώσσω|to store up honey
τιθασευτής|one who tames
τιθασεύω|to tame, domesticate
τιθασός|tame, domestic
τιθηνέομαι|to nurse, suckle, tend as nurse
τιθηνητήρ|= τιθηνός, Anth.:—fem. -τειρα, ῀ τιθήνη, id=Anth.
τιθηνητήριος|nursing
τιθηνός|nursing
τιθωνός|Tithonus
τιθύμαλος|spurge, euphorbia
τιμάορος|doric for τιμωρός.
τιμάοχος|having honour
τιμάω|to pay honour to, hold in honour, to honour, revere, reverence
τιμή|that which is paid in token of worth or value
τιμήεις|honoured, esteemed
τιμήορος|ionic for τιμάορος, τιμωρός.
τιμαλφέω|to do honour to
τιμαλφής|fetching a prize, costly, precious
τιμητέος|to be honoured, valued
τιμητής|a valuer, estimater
τιμητεία|the censorship
τιμητεύω|to be censor
τιμητικός|forming an estimate
τιμητός|rateable
τιμιότης|worth, value, preciousness
τιμοκρατία|a state in which the love of honour is the ruling principle
τιμοκρατικός|of or for a
τιμωρέω|to help, aid, succour
τιμωρία|help, aid, assistance, succour
τιμωρητέος|one must assist
τιμωρητήρ|an avenger
τιμωρητικός|revengeful
τιμωρός|upholding honour
τιμώρημα|help, aid, succour given
τινάκτειρα|a shaker
τινάκτωρ|a shaker
τινάσσω|to shake or brandish
τις|any one, any thing, some one, some thing
τιτάν|the Titans
τιταίνω|to stretch
τιτανίς|fem. of Τιτάν, Aesch.
τιτανοκράτωρ|conqueror of the Titans
τιτανοκτόνος|slaying Titans
τιτανώδης|Titan-like, Titanic
τιτθίον|Dim. of τιτθός, Ar.
τιτθεία|an acting as a nurse, nursing
τιτθεύω|to be a nurse, act as a nurse
τιτθός|a teat, nipple
τιτρώσκω|to wound
τιτυοκτόνος|slaying Tityus
τιτυός|Tityus
τιτύσκομαι|to make, make ready, prepare
τιό|τιό, τιό, imitation of a bird's note, Ar.
τλάω|to take upon oneself, to bear, suffer, undergo
τλήθυμος|stout-hearted
τλήμων|suffering, enduring, patient, stout-hearted
τλημοσύνη|that which is to be endured, misery, distress
τλημόνως|adverb of τλήμων.
τλησικάρδιος|hard-hearted
τλητός|suffering, enduring, patient, steadfast
τμήγω|to cut, cleave
τμήδην|by cutting, so as to cut
τμητέος|one must cut
τμητοσίδηρος|cut down with iron
τμητός|cut, shaped by cutting
τμῆμα|a part cut off, a section, piece
τμῆσις|a cutting
τμῶλος|Mt. Tmolus
τοίνυν|therefore, accordingly
τοι1|let me tell you, surely, verily
τοι|let me tell you, surely, verily
τοιγάρ|so then, wherefore, therefore, accordingly
τοιουτότροπος|of such kind, such like
τοιουτώδης|of such kind
τοιοῦτος|such as this
τοιχωρυχέω|to dig through a wall like a thief, to be a housebreaker
τοιχωρύχος|one who digs through the wall
τοιόσδε|such a
τοκάς|of or for breeding
τοκίζω|to lend on interest
τοκετός|birth, delivery
τοκεύς|one who begets, a father
τοκισμός|the practice of usury
τοκιστής|an usurer
τοκογλυφέω|to practise sordid usury
τοκογλύφος|one who carves out interest, a sordid usurer
τοκοφορέω|to bring in interest
τολμάω|to undertake, take heart
τολμηρός|hardihood
τολμητέος|one must venture
τολμητής|a bold, venturous man
τολμητός|to be ventured
τολοιπόν|for the rest, for the future
τολυπεύω|to wind off
τολύπη|a clew or ball of wool
τομάω|to need cutting
τομή|the end left after cutting, the stump
τομαῖος|cut, cut off
τομεύς|one that cuts, a shoemaker's knife
τομός|cutting
τονάριον|a pitch-pipe
τονθορύζω|to speak inarticulately, mutter, babble
τονῦν|for the present
τοξάζομαι|to shoot with a bow
τοξάριον|Dim. of τόξον, Luc.
τοξήρης|furnished with the bow
τοξαλκέτης|mighty with the bow
τοξευτός|struck by an arrow
τοξεύω|to shoot with the bow
τοξικός|of or for the bow
τοξοβόλος|shooting with the bow
τοξοποιέω|to make like a bow, to arch
τοξοσύνη|bowmanship, archery
τοξουλκός|drawing the bow
τοξοφορέω|to bear a bow
τοξοφόρος|bow-bearing
τοξόδαμνος|subduing with the bow
τοξότης|a bowman, archer
τοπάζω|to aim at, guess
τοπάλαι|better written divisim τὸ πάλαι, τὸ παλαιόν, etc.
τοπικός|concerning
τοπογράφος|a topographer.
τοπογραφέω|to determine the site
τοποθετέω|to mark the site of
τοπομαχέω|to wage war by holding strong positions
τοπρίν|better written divisim τὸ πρίν, etc.
τορέω|to bore through, pierce
τορεία|a carving in relief
τορευτός|worked in relief
τορεύς|a borer, piercer
τορεύω|to work in relief
τορνευτολυρασπιδοπηγός|lyre-turner and shield-maker
τορνεύω|to work with a lathe-chisel
τορνόομαι|to mark off with the
τοροτίξ|a bird's note
τορός|piercing
τορύνη|a stirrer, ladle
τορύνω|to stir, stir up or about
τοσάκις|so many times, so often
τοσήμερον|to-day
τοσαυτάκις|= τοσάκις, Plat.
τοσοσδί|= τοσουτοσί, Plat.
τοσουτάριθμος|of so large a number
τοσουτοσί|later attic for τοσοῦτος, with a stronger demonstr. force, Ar., Plat., etc.
τοσοῦτος|so large, so tall
τοσσάτιος|so great, much
τοσσῆνος|doric for τοσοῦτος, Theocr.
τοσόσδε|so strong, so able
τοτέ|at times, now and then
τοτελευταῖον|better written divisim τὸ τελευταῖον, etc.
τοτοβρίξ|a bird's note
τοτοῖ|an exclam., Aesch.; τοτοτοῖ, Soph.
τοτρίτον|better written divisim τὸ τρίτον.
τουτεί|doric for ταύτῃ, Theocr.
τουτόθεν|hence, thence
τοὔνεκα|for that reason, therefore
τοῖος|quality, such, such-like
τοῖχος|the wall of a house or court
τράγειος|of or from a he-goat
τράγεος|= τράγειος, Anth.
τράγημα|that which is eaten for eating's sake
τράγινος|of a he-goat
τράγος|a he-goat
τράγω|doric for τρώγω.
τράλλεις|Trallians
τράπεζα|four-legged a table
τράχηλος|the neck, throat
τρέμω|to tremble or fear to
τρέπω|to turn or direct
τρέφω|to thicken or congeal
τρέχνος1|@
τρέχνος2|@
τρέχνος|@
τρέχω|to run
τρέω|to flee from fear, flee away
τρήρων|timorous, shy
τρίαινα|a trident
τρίβολος|a caltrop
τρίβος|a worn or beaten track, the high road, highway
τρίβω|to rub: to rub or thresh
τρίβων2|practised or skilled in
τρίβων|practised or skilled in
τρίγλη|the red mullet
τρίγληνος|with three pupils
τρίγλυφος1|@
τρίγλυφος2|@
τρίγλυφος|@
τρίγονος|thrice-born
τρίγωνος|three-cornered, triangular
τρίδουλος|a slave through three generations, thrice a slave
τρίδραχμος|worth or weighing three drachms
τρίζω|to utter a shrill cry, to scream, cry
τρίκλινος|with three couches
τρίκλωστος|thrice-spun, three-twisted
τρίκρανος|three-headed
τρίλλιστος|thrice
τρίμετρος|consisting of three metres
τρίμηνος|of three months
τρίμοιρος|threefold, triple
τρίμορφος|three-formed
τρίναξ|a trident or three-pronged mattock
τρίοδος|a meeting of three roads
τρίπαις|having three children
τρίπαλαι|long long ago
τρίπαλτος|thrice-brandished
τρίπηχυς|three cubits long or tall
τρίπλαξ|triple, threefold
τρίπλεθρος|three
τρίπλευρος|three-sided.
τρίπολις|with three cities
τρίπολος|thrice ploughed
τρίπορθος|thrice-wasted
τρίπους|three-footed, of or with three feet
τρίπτης|a rubber, shampooer
τρίπτυχος|threefold
τρίπωλος|of or with three horses
τρίρρυμος|with three poles
τρίς|thrice, three times
τρίσαμος|doric for τρίσημος.
τρίσκαλμος|with three oarpins
τρίσμακαρ|thrice-blest
τρίσπονδος|thrice-poured
τρίστεγος|of or with three stories
τρίστοιχος|in three rows
τρίστομος|three-edged or -pointed
τρίτατος|poet. lengthd. for τρίτος, Il.
τρίτοκος|bearing three times or three at a time
τρίτος|the third
τρίτων|Triton
τρίφυλλον|tre-foil, clover
τρίφυλος|of three tribes
τρίχα|threefold, in three parts
τρίχαλκον|a coin worth three
τρίχαλος|cloven in three
τρίχινος|of hair
τρίχωμα|a growth of hair, hair
τραγέλαφος|the goat-stag
τραγίσκος|a young he-goat
τραγασαῖος|of or from the Epirotic city
τραγηματίζω|to eat sweetmeats
τραγικός|of or like a goat, goatish
τραγοκουρικός|for shearing he-goats
τραγομάσχαλος|with armpits smelling like a he-goat
τραγοσκελής|goat-shanked
τραγοφαγέω|to eat he-goats
τραγόκτονος|of slaughtered goats
τραγόπους|goat-footed
τραγῳδέω|to act a tragedy
τραγῳδία|a tragedy
τραγῳδικός|befitting tragedy
τραγῳδιογράφος|writing tragedies
τραγῳδοδιδάσκαλος|a tragic poet
τραγῳδοποιός|a maker of tragedies, a tragic poet, tragedian
τραγῳδός|a goat-singer
τρανής|piercing
τρανόω|to make clear, plain, distinct
τραπέω|to tread grapes
τραπεζίτης|one who keeps a bank, a banker
τραπεζεύς|at, of a table
τραπεζιτεύω|to be engaged in banking
τραπεζιτικός|of or for the banker
τραπεζοποιία|table-making
τραπητέος|one must turn
τρασιά|a crate
τραυλίζω|to lisp
τραυλός|lisping
τραυλότης|a lisping
τραυματίζω|to wound
τραυματίης|a wounded man
τραφερός|well-fed
τραχήλια|scraps of meat and gristle about the neck, scraps, offal
τραχίς|Trachis
τραχηλίζω|of wrestlers
τραχηλιαῖος|of, on
τραχηλοδεσμότης|chaining the neck
τραχύνω|to make rough, rugged, uneven
τραχύς|rugged, rough
τραχύστομος|of rough speech or pronunciation
τραχύτης|roughness, ruggedness
τραχών|a rugged, stony tract
τραῦμα|a wound, hurt
τρεισκαίδεκα|thirteen
τρεπτέος|one must turn
τρεῖς|Lat. tres, tria, three, Hom., etc.
τρηματόεις|porous
τρητός|perforated, with a hole in it
τρηχαλέος|poetic for τρηχύς, Anth.
τρηχύνω|
τρι-|three times, thrice
τριάκοντα|thirty
τριάξω|to vanquish
τριάρμενος|with three sails or masts
τριάς|the number three, a triad
τριέλικτος|thrice coiled
τριέμβολος|like three ships' beaks
τριέτης|of or for three years
τριήραρχος|the captain of a trireme
τριήρης|Lat. triremis, a galley with three banks of oars, the common form of the Greek ship-of-war, Hdt., etc.: first built by the Corinthians, Thuc.:—cf. θαλάμιος, ζυγίτης, θρανίτης.
τριαινόω|to heave with the trident
τριακάς|the number thirty
τριακονθάμματος|with or of thirty knots
τριακονθήμερος|of thirty days
τριακοντάζυγος|with thirty benches
τριακοντάκις|thirty times
τριακοντάχους|producing thirtyfold
τριακονταετής|thirty years old
τριακονταρχία|the rule of the Thirty
τριακοντώρυγος|of thirty fathoms
τριακοσιομέδιμνοι|those whose property produced
τριακοσιόχους|bearing three hundredfold
τριακοστός|the thirtieth
τριακτήρ|a victor
τριακόντορος|a thirty-oared ship
τριακόσιοι|three hundred
τριβή|a rubbing or wearing away, wasting
τριβακός|rubbed, worn
τριβαλλοί|the Triballi
τριβελής|three-pointed
τριβολεκτράπελος|in coarse rude jests.
τριβωνικῶς|like a
τριβώνιον|Dim. of τρίβων, Ar.
τριγένεια|a third generation
τριγέρων|triply old
τριγίγας|a triple
τριγλοφόρος|bearing mullets
τριγλώχις|three-barbed
τριγμός|a scream, squeak
τριγονία|the third generation
τριγωνοειδής|triangular-shaped
τριετηρίς|a triennial festival
τριζυγής|three yoked, three in union
τριημιπόδιον|a length of three half-feet, a foot and a-half
τριηράρχημα|the trierarch's crew
τριηρίτης|a trireme-man
τριηραρχέω|to be a
τριηραρχία|the command of a trireme
τριηραρχικός|of or for the trierarchy
τριηραύλης|the flute-player
τριηρικός|of or for a trireme
τριηροποιός|building triremes
τριθάλασσος|touching on or connected with three seas
τρικάρανος|the Three-headed
τρικάρηνος|three-headed
τρικέφαλος|three-headed
τρικυμία|the third wave, a huge wave
τρικόλωνος|three-hilled
τρικόρυθος|with triple plume
τρικόρυφος|three-topped
τρικόρωνος|thrice a crow's age
τριλογία|a trilogy
τριλοφία|a triple crest
τριμάκαιρα|thrice-blest
τριμμός|a beaten road
τριμοιρία|a triple portion, triple pay
τρινακρία|Sicily
τριξός|ionic for τρισσός.
τριοτό|a sound
τριπάλαιστος|three hands broad, long
τριπάνουργος|triply-base, an arch-rogue
τριπάχυιος|thrice-fattened, thrice-gorged
τριπέτηλος|three-leafed
τριπιθήκινος|thrice or thoroughly apish
τριπλάσιος|thrice as many, thrice as much, thrice as great as
τριπλασιάζω|to triple, take three times
τριπλόος|triple, threefold
τριποδηφορέω|to bring a tripod, offer it as a sign of victory
τριπτήρ|the vat into which the oil runs when pressed out
τριπόδης|three feet long
τριπόθητος|thrice
τριπόλιστος|thrice-repeated
τριπόνητος|between three labouring women
τρισάθλιος|thrice-unhappy
τρισάλαστος|thrice-tormented
τρισάριθμος|thrice-numbered
τρισάσμενος|thrice-pleased, most willing
τρισάωρος|thrice-untimely
τρισέπαρχος|thrice an
τρισδείλαιος|= τρισάθλιος, Anth.
τρισεινάς|the third ninth day
τρισευδαίμων|thrice-happy
τρισκαιδέκατος|thirteenth
τρισκαιδεκάπηχυς|thirteen cubits high
τρισκαιδεκέτης|thirteen years old
τρισκαιδεκαστάσιος|of thirteen times the value
τρισκαιδεκαφόρος|fruiting thirteen times
τρισκακοδαίμων|thrice unlucky
τρισκατάρατος|thrice-accursed
τρισκελής|three-legged
τρισκοπάνιστος|thrice-kneaded
τρισμακάριστος|= τρίσμακαρ, Luc.
τρισμυριόπαλαι|thirty thousand times long-ago
τρισμύριοι|thrice ten thousand
τρισολυμπιονίκης|thrice victorious at Olympia
τρισπίθαμος|three spans long
τρισσάτιος|poetic for τρισσός, Anth.
τρισσόθεν|from three sides
τρισσός|threefold
τριστοιχί|in three rows
τρισχίλιοι|three thousand
τρισχιλιοστός|the three-thousandth
τρισόλβιος|thrice happy or fortunate
τρισύλλαβος|trisyllabic
τρισώματος|three-bodied
τριτάλαντος|of three talents
τριτάλας|thrice-wretched
τριτάνυστος|thrice-stretched, very long
τριταγωνιστέω|to be a
τριταγωνιστής|the player who took the third part, a third-rate actor
τριταῖος|on the third day
τριτημορίς|= τριτημόριον, Hdt.
τριτημόριος|forming a third part of
τριτοβάμων|forming a third foot
τριτογένεια|Trito-born
τριττύς|the number three
τριτωνίς|Tritonis
τριτωνιάς|Tritonis
τριτόσπονδος|in which one has poured the third libation
τριτόσπορος|sown for the third time
τριτώ|= Τριτογένεια, Anth.
τριφάσιος|threefold
τριφίλητος|thrice-beloved
τριχάικες|the threefold people
τριχάλεπτος|very angry
τριχίς|anchovy full of small hair-like bones
τριχθά|in or into three parts
τριχοίνικος|holding or measuring three
τριχορρυέω|to shed the hair
τριχορρυής|shedding the hair.
τριχοῦ|in three places
τριχόβρως|eating hair
τριχόλωτος|thrice-detested
τριχόμαλλος|hair-fleeced
τριχόομαι|to be furnished with hair
τριχόφοιτος|just passing into hair
τριχῆ|in or into three parts
τριψημερέω|to waste the day
τριόδους|with three teeth, three-pronged
τριόπιον|a headland of Caria, on which was a temple consecrated to Apollo, τὸ Τριοπικὸν ἱρόν, ὁ Τριόπιος Ἀπολλών Hdt.
τριόρχης|the buzzard
τριώβολον|a three-obol-piece, a half-drachma
τριώροφος|of three stories or floors
τριώρυγος|of three fathoms
τροία|Troy
τροίαθεν|from Troy
τροίανδε|to Troy
τροιζήν|Troezen
τροιζήνιος|of Troezen
τρομέω|to tremble, quake, quiver
τρομερός|trembling
τροπέω|to turn
τροπή|a turn, turning
τροπαία|an alternating wind
τροπαιοφόρος|bearing trophies
τροπαῖος|of or for defeat
τροπικός|of the solstice
τροποφορέω|to bear with
τροπωτήρ|from τροπόω
τροπός|a twisted leathern thong
τροπόω2|to furnish the oar with its thong
τροπόω|to furnish the oar with its thong
τροφή|nourishment, food, victuals
τροφίης|brought up in the house, stall-fed
τροφαλίς|a piece
τροφεύς|one who rears or brings up, a foster-father
τροφεῖα|pay for bringing up, the wages of a nurse or rearer
τροφοφορέω|to bring
τροφόεις|well-fed
τροφός|a feeder, rearer, nurse
τροφώνιος|the builder of the temple of Apollo at Delphi, Hhymn., Hdt.; καταβαίνων ὥσπερ ἐς Τροφωνίου (sc. ἄντρον̓ Ar.
τροχάζω|to run like a wheel, to run along, run quickly
τροχήλατος|driven on wheels, wheel-drawn
τροχίζω|to turn round on the wheel, torture
τροχίλος|the sandpiper
τροχαλός|running
τροχαῖος|running, tripping
τροχερός|running, tripping
τροχηλάτης|one who guides wheels
τροχηλατέω|to drive a chariot: to drive about, drive round and round
τροχιά|the round of a wheel
τροχιλία|the sheaf of a pulley, roller of a windlass
τροχιός|round
τροχοδινέομαι|to whirl or roll round
τροχοειδής|round as a wheel, circular
τροχοποιέω|to make wheels
τροχόεις|round as a wheel, round
τροχός2|anything that runs round
τροχός|anything that runs round
τρυγάω|to gather in
τρυγητήρ|one who gathers grapes
τρυγηφόρος|bearing fruits
τρυγικός|of lees
τρυγοδαίμων|a poor-devil poet
τρυγόνιον|Dim. of τρυγών, Anth.
τρυγών|the turtle-dove
τρυγῳδία|= κωμῳδία, Ar.
τρυγῳδικός|= κωμῳδικός, Ar.
τρυγῳδός|a lees-singer
τρυμαλιά|a hole
τρυπάω|to bore, pierce through
τρυσάνωρ|wearying a man
τρυσίβιος|wearing out life
τρυτάνη|the tongue of a balance
τρυφάλεια|a helmet
τρυφάω|to live softly, delicately, luxuriously, to fare sumptuously
τρυφή|softness, delicacy, daintiness
τρυφεραίνομαι|to be fastidious
τρυφερός|delicate, dainty
τρυφηλός|rare poet. form of τρυφερός, Anth.
τρυχηρός|ragged, tattered
τρυχόομαι|to be worn out
τρωίαθεν|from Troy
τρωγάλια|fruits eaten at dessert, figs, nuts, sweetmeats
τρωγλοδύτης|one who creeps into holes
τρωγλοδύων|creeping into a hole
τρωικός|Trojan
τρωιός|of Tros
τρωκτός|to be eaten raw: eatable
τρωξάρτης|bread-gnawer
τρωοφθόρος|destructive to the Trojans or to Troy
τρωπάω|to turn constantly, change
τρωτός|to be wounded, vulnerable
τρωχάω|to run fast, gallop
τρόμος|a trembling, quaking, quivering
τρόπαιον|a trophy
τρόπαλις|a bundle, bunch
τρόπις|a ship's keel
τρόπος|a turn, direction, course, way
τρόφιμος|nourishing
τρόφις|well-fed, stout, large
τρόχις|a runner, messenger
τρύβλιον|a cup, bowl
τρύγη|ripe fruit, a grain-crop, corn
τρύγητος|a vintage, harvest
τρύγοιπος|a straining-cloth
τρύμη|a hole
τρύξ|new wine not yet fermented, wine with the lees in it, must
τρύπανον|a borer, auger
τρύπη|a hole
τρύπημα|a hole
τρύφημα|that in which one takes pride, a pride
τρύφος|that which is broken off, a piece, morsel, lump
τρύχνος|nightshade
τρύχω1|@
τρύχω2|@
τρύχω|@
τρύω|to rub down, wear out
τρώγλη|a hole formed by gnawing, a mouse's hole
τρώγω|to gnaw, nibble, munch
τρώκτης|a gnawer, nibbler
τρώμα|doric for *τραύμη ῀ τραῦμα, Pind.
τρώξιμος|= τρωκτός, Theocr.
τρώς|Tros
τρῆμα|a perforation, hole, aperture, orifice
τρῖμμα|that which is rubbed
τρῖψις|rubbing, friction
τρῦχος|a worn out garment, a rag, shred
τρῳάς|Trojan
τρῶξις|a biting
τυγχάνω|to hit
τυδεύς|Tydeus
τυκίζω|to work stones
τυκτά|(tacht)
τυκτός|created
τυλίσσω|to twist up: to bend
τυλωτός|knobbed
τυλόω|to make knobby
τυμβήρης|entombed
τυμβίτης|in or at the grave
τυμβεύω|to bury, entomb
τυμβολέτης|= τυμβώρυχος, Anth.
τυμβοφόνος|grave-murdering, disturbing the dead
τυμβοχοέω|to throw up a cairn or barrow
τυμβοχόη|the throwing up a cairn
τυμβοχόος|throwing up a cairn or barrow
τυμβοῦχος|sepulchral
τυμβωρυχία|grave-robbing
τυμβωρύχος|one who digs up graves, a grave-robber
τυμβόχωστος|heaped up into a cairn, high-heaped
τυμπάνιον|Dim. of τύμπανον, Strab.
τυμπανίζω|to beat a drum
τυμπανιστής|of a priestess of Cybele, Dem.
τυνδάρεος|Tyndareos or Tyndarus
τυννοῦτος|tantillus
τυννός|so small, so little
τυντλάζω|to work in the mud
τυπή|a blow, wound
τυπόω|to form, mould, model
τυπώδης|like an outline
τυρίσδω|doric for συρίζω.
τυραννίζω|to take the part of tyrants
τυραννίς|kingly power, sovereignty
τυραννεύω|to be a
τυραννικός|of or for a despotic ruler, royal, princely
τυραννοκτονέω|to slay a tyrant
τυραννοκτονία|the slaying of a tyrant
τυραννοκτόνος|slayer of a tyrant
τυραννοποιός|a maker of tyrants
τυραννοφόνος|slaying tyrants
τυρβάζω|to trouble, stir up
τυρευτήρ|one who makes cheese
τυρεύω|to make cheese
τυρογλύφος|cheese-scooper
τυροποιέω|to make cheese
τυροπωλέω|to sell like cheese
τυροπώλης|a cheesemonger
τυροφάγος|cheese-eater
τυροφόρος|with cheese on it
τυρρηνολέτης|destroyer of Tyrrhenians
τυρσηνός|Tyrrhenian, Etruscan
τυρόεις|like cheese
τυρόκνηστις|a cheese-scraper, cheese-grater
τυρόνωτος|cheese-backed, spread with cheese
τυρός|cheese
τυτθός|little, small
τυφήρης|made from
τυφεδανός|one with cloudy wits, a stupid fellow, dullard
τυφλόπους|with blind foot
τυφλός|blind
τυφλόστομος|with blind mouth
τυφλότης|blindness
τυφλόω|to blind, make blind
τυφλώττω|to be blind
τυφογέρων|an old man dim and
τυφωεύς|Typhoeus or Typhos
τυφωνικός|tempestuous
τυφωνοειδῶς|like a whirlwind
τυφόω|to wrap in smoke
τυφώς|@
τυφῶν|Typhon
τυχαῖος|accidental, chance
τυχηρός|lucky, fortunate
τυχόν|v. τυγχάνω B. III. 2.
τυχόντως|by chance
τυῖδε|here
τωθάζω|to mock, scoff or jeer at, flout
τωθασμός|scoffing, jeering
τόθεν|hence, thence
τόθι|there, in that place
τόκος|a bringing forth, childbirth, parturition
τόλμα|courage, to undertake or venture
τόλμημα|an adventure, enterprise, deed of daring
τόμιον|a victim cut up
τόμος|a cut, slice
τόνος|that by which a thing is stretched, a rope, cord, brace
τόξαρχος|lord of the bow, bowman, archer
τόξευμα|that which is shot, an arrow
τόξον|a bow
τόπαζος|the topaz
τόπαρχος|ruling over a place
τόπος|a place
τόρμος|any hole or socket
τόρνος|a carpenter's tool for drawing a circle, compasses
τόσος|so great, so vast
τόσσαις|to happen
τότε|at that time, then
τόφρα|up to or during that time, so long
τύκη|mason's work
τύκισμα|a working of stones
τύκος|an instrument for working stones with, a mason's hammer or pick
τύλη|any callous lump
τύλος|a knot or callus
τύμβευμα|a tomb, grave
τύμβος|a sepulchral mound, cairn, barrow
τύμμα|a blow
τύμπανον|a kettledrum
τύπανον|a drum
τύπος|a blow
τύπτω|to beat, strike, smite
τύπωμα|that which is moulded
τύπωσις|a mould, model
τύραννος|an absolute sovereign
τύρβη|disorder, tumult
τύρευμα|that which is curdled, cheese
τύριος|of Tyre, Tyrian
τύρος|Tyre
τύρσις|a tower
τύφη|a plant used for stuffing beds.
τύφλωσις|a making blind, blinding
τύφω|to raise a smoke
τύχη|the good which man obtains
τύχος|τεύχω
τώς|so, in this wise
τᾶλις|a marriageable maiden
τᾶν|sir, my good friend
τῆ|take
τῆθος|an oyster
τῆλε|at a distance, far off, far away
τῆμος|then, thereupon
τῆνος|he, she, it
τῆτες|this year, of or in this year
τῇ|here, there
τῇδε|here, thus
τῖμος|poetic form of τιμή II, Aesch.
τῖφος|standing water, a pond, pool, marsh
τῦκον|Boeot. for σῦκον.
τῦφος|smoke, vapour
τῷ|therefore, in this wise, thereupon
υἱιδεύς|= ὑϊδοῦς, Isocr.
υἱοθεσία|adoption as a son
υἱωνός|a grandson
υἱός|A son
φάκελος|a bundle, fagot
φάλαγξ|a line of battle, battle-array
φάλαινα|v. φάλλαινα.
φάλανθος|bald in front
φάλαρα|bosses
φάλαρον|v. φάλαρα, τά
φάλαρος|having a patch of white
φάληρον|Phalerum
φάλλαινα|a whale
φάλος|a part of the helmet
φάντασμα|an appearance, phantasm, phantom
φάος|light, daylight
φάραγξ|a cleft or chasm
φάρμακον|a drug, medicine
φάρος|Pharos
φάρσος|a part, portion
φάρυγξ|the throat, gullet
φάσγανον|a sword
φάσηλος|bean
φάσις1|@
φάσις2|@
φάσις|@
φάσκω|to say, affirm, assert
φάσμα|an apparition, phantom
φάσσα|a wild pigeon, ringdove
φάτις|a voice from heaven, the voice of an oracle, an oracle
φάτνη|a manger, crib, feeding-trough
φάττιον|dim. for φάσσα, Ar.
φάω|to give light, shine
φέβομαι|to be put to flight, flee affrighted
φέγγος|light, splendour, lustre
φέγγω|to make bright
φέλλινος|made of cork
φέναξ|a cheat, quack, impostor
φένω|to slay
φέρασπις|shield-bearing
φέρβω|to feed, nourish
φέρετρον|a bier, litter
φέριστος|v. φέρτατος.
φέρμα|that which is borne, the fruit of the womb
φέρτατος|bravest, best
φέρω|to bear
φέψαλος|a spark, piece of the embers
φήγινος|oaken
φήληξ|a wild fig
φήμη|a voice from heaven, a prophetic voice
φήνη|sea-eagle
φήρ|the Centaurs
φίλανδρος|loving men
φίλαρχος|fond of power, ambitious
φίλαυλος|fond of the flute
φίλαυτος|loving oneself
φίλερως|prone to love, full of love
φίλημα|a kiss
φίλησις|a feeling of affection
φίλιννα|darling
φίλιος|of or from a friend, friendly
φίλιππος|fond of horses, horse-loving
φίλοικτος|moving pity
φίλοινος|fond of wine
φίλοπλος|loving arms
φίλορνις|fond of birds
φίλος|loved, beloved, dear
φίλτατος|irreg. Sup. of φίλος, Hom., Trag.
φίλτερος|irreg. comp. of φίλος, Hom., Hes.
φίλτρον|a love-charm
φίτυμα|a shoot, scion
φαάντατος|brightest
φαάντερος|brighter
φαέθω|to shine
φαίαξ|a Phaeacian
φαίδιμος|shining
φαίνω|to bring to light, make to appear
φαίνων|shiner
φαγεῖν|to eat, devour
φαγός|a glutton
φαεθοντίς|shining
φαεινός|shining, beaming, radiant
φαεσίμβροτος|bringing light to mortals
φαεσφόρος|light-bringing
φαιδρυντής|a cleanser, washer
φαιδρωπός|with bright, joyous look
φαιδρόνους|with bright, joyous mind
φαιδρόομαι|to beam with joy
φαιδρός|bright, beaming
φαιδρότης|brightness: joyousness
φαιδρύνω|to make bright, to cleanse
φαικάς|a white shoe
φαικάσιον|Dim. of φαικάς, Plut.
φαινόλης|formed from the Lat. paenula, a thick upper garment, a cloak, NTest.
φαινόλις|light-bringing
φαιοχίτων|dark-robed
φαιός|dusky, dun, gray
φακός|lentil
φακῆ|a dish of lentils
φαλάγγιον|= φάλαγξ III, Plat., Xen.
φαλαγγηδόν|in phalanxes
