Αἰάντειος,of Ajax
προσεπισφρᾱγίζομαι,set one's seal to
προσεπισχῡρίζω,strengthen yet more
προσεπισωρεύω,pile up besides
προσεπισύρω,sweep on like a flood
προσεπισῑτίζομαι,provide oneself with further supplies of corn
προσεπιτάσσω,enjoin besides
προσεπιτέμνω,chisel away on the surface
προσεπιτέρπομαι,rejoice in besides
προσεπιτίθημι,lay on besides
προσεπιτείνω,stretch still further
προσεπιτελέω,complete as well
προσεπιτεχνάομαι,contrive besides
προσεπιτρέπω,entrust or make over to besides
προσεπιτρίβω,afflict or destroy besides
προσεπιτροπεύομαι,to be under guardianship longer
προσεπιτρᾰγῳδέω,add with tragic exaggeration
προσεπιτυγχάνω,obtain besides
προσεπιτᾰλαιπωρέω,endure still longer
προσεπιτῑμάω,reproach besides
προσεπιφέρω,bear or produce besides
προσεπιφαίνομαι,appear besides
προσεπιφημίζω,make a response
προσεπιφθέγγομαι,exclaim further
προσεπιφθονέω,grudge besides
προσεπιφοιτάω,come in besides
προσεπιφωνέω,say besides, add
προσεπιφωτίζω,throw a light upon as well
προσεπιχέω,pour on besides
προσεπιχώννῡμι,heap on, pile on
προσεπιχᾰράσσω,engrave on besides
προσεπιχᾰρίζομαι,gratify besides
προσεπιψεύδομαι,lie besides
προσεπιψηφίζομαι,decree by vote besides
προσεποφλισκάνω,incur besides.
προσεπόμνῡμι,swear besides
προσεπᾰπειλέω,threaten besides
προσεπᾰράομαι,imprecate besides
προσεπᾴδω,chant over
προσερέσθαι,ask besides
προσερέω,speak to, address, accost
προσερίζω,strive with or against
προσεργάζομαι,work besides
προσερείδω,plant or set firmly against
προσερεθίζω,stimulate besides
προσερεύγομαι,belch at
προσεριστής,rebel
προσερωτάω,question besides
προσερᾰνίζω,contribute besides
προσεσθίω,eat besides
προσεσπέριος,towards the west, western
προσετέον,one must admit
προσεταιρίζομαι,take to oneself as a friend, associate with oneself
προσεταιριστός,joined with as a companion, attached to the same
προσετοιμάζω,make preparations
προσευεργετέω,do good besides
προσευθύνω,call to account besides
προσευκαιρέω,have leisure for
προσευκτήριον,place of prayer
προσευκτικός,addressed in prayer
προσευλογέω,praise besides
προσευλᾰβέομαι,guard against as well
προσευνάζομαι,come to rest upon
προσευπορέω,procure or provide besides
προσευρίσκω,find besides
προσευσχολέω,give one's time to
προσευτελίζω,cheapen still more
προσευφραίνω,gladden besides
προσευχή,prayer
προσεφάπτομαι,to be connected with, attached to as well
προσεφέλκομαι,draw after one besides
προσεχής,next to
προσεχόντως,attentively, carefully
προσεψία,intercourse
προσεωλίζομαι,become putrefied
προσεύχομαι,offer prayers or vows
προσεῖπον,speak to
προσεῷος,towards the east
προσζεύγνῡμι,attach by a yoke
προσζημιόω,punish besides
προσζητέω,seek besides
προσζωννύω,gird besides
προσηγορέω,address
προσηγορία,friendly greeting, familiarity
προσηγορητικόν,appellative
προσηγορικός,of or for addressing
προσηγόρημα,object of one's address
προσηκόντως,suitably, fitly
προσηλιάζομαι,to be exposed to the sun
προσηλυτεύω,live in
προσηλόω,nail, rivet, fix to
προσηλύτευσις,residence as a stranger
προσημαίνω,foretell, announce
προσημαντικός,presignifying
προσημειόομαι,prognosticate
προσημερεύω,pass the day with
προσημᾰσία,prognostic
προσηνής,soft, gentle
προσηρμοσμένως,fittingly
προσηχέω,resound or re-echo
προσηχής,re-echoing
προσηῷος,towards the East
προσθάλπω,comfort, encourage
προσθέτης,accelerating
προσθέτησις,interposition, occultation
προσθέω,run towards or to
προσθήκη,addition, appendage, supplement
προσθαγενής,previous
προσθαρσέω,have confidence in
προσθαυμάζω,wonder at
προσθαφαίρεσις,addition or subtraction as required
προσθαφαιρέω,add or subtract as required
προσθεάομαι,behold
προσθεμέλιον,additional foundation
προσθετέον,one must add
προσθετικός,adding: repletive
προσθεωρέω,observe besides
προσθεωρητέον,one must consider besides
προσθιγγάνω,touch
προσθλάω,squeeze against
προσθλίβω,press or squeeze against
προσθοφᾰνής,showing in front
προσθροέω,address, call by name
προσθόδομος,chief of a house or its former lord
προσθύμιος,according to one's mind, welcome
προσθᾱκέω,sit at or near
προσθῠραῖος,door-keeper
προσιατρεύω,give extra treatment to
προσιδρύω,place near
προσιζάνω,sit by or near
προσικνέομαι,come to, reach
προσιππεύω,ride up to, charge
προσιστορέω,narrate besides
προσιστορητέον,one must narrate further
προσισχύω,to be able besides
προσκάθημαι,to be seated by
προσκάθῐσις,sitting by or near
προσκάμνω,work longer
προσκάρδιος,at the heart
προσκέλλω,push to land, land
προσκήνιον,entrance of a tent
προσκήπτω,presignify, forebode
προσκαίω,set on fire or burn besides
προσκαθάπτομαι,attack besides
προσκαθέζομαι,sit down before
προσκαθέλκω,haul down besides
προσκαθέψω,boil in addition
προσκαθίζω,sit down by or near
προσκαθίννῠμαι,cause to sit down besides
προσκαθίστημι,supply
προσκαθαίρω,purify in addition
προσκαθαιρέω,pull down besides
προσκαθεδρία,blockade
προσκαθεύδω,sleep by or near
προσκαθιδρύω,place upon
προσκαθιερόω,consecrate in addition
προσκαθοπλίζω,arm besides
προσκαθοράω,behold besides
προσκαθοσιόω,sanctify, consecrate
προσκαινουργέω,work some new thing
προσκαινόω,renew by addition
προσκαρτέρησις,perseverance, patience
προσκαρτερέω,persist obstinately in
προσκαρτερητικῶς,painstakingly
προσκαρφόω,attach with nails
προσκατάβλημα,that which is paid besides
προσκατάγω,draw back further
προσκατέχω,hold steady against
προσκαταίρω,sail down against
προσκαταβάλλω,deposit besides
προσκαταβαίνω,descend besides
προσκαταβλάπτω,damage as well
προσκαταγελάω,laugh at besides
προσκαταγιγνώσκω,condemn besides
προσκαταγράφω,enrol besides
προσκαταδέω,bind down to or upon
προσκαταδείδω,fear besides
προσκαταδείκνῡμι,ordain besides
προσκαταδεσμέω,tie up besides
προσκαταισχύνω,disgrace still further
προσκατακλίνομαι,recline beside
προσκατακλαίομαι,lament one with another
προσκατακλείω,shut up besides
προσκατακλύζω,deluge still more
προσκατακτάομαι,acquire besides
προσκατακτείνω,kill besides
προσκατακῠκάω,mix, beat up with
προσκαταλέγω,enrol besides or in addition to
προσκαταλαμβάνω,fasten down to
προσκαταλείπω,leave besides as a legacy
προσκαταλεπτύνω,reduce, attenuate further
προσκαταλλάττομαι,become reconciled besides
προσκαταλύω,undo or dissolve besides
προσκαταλᾰλέω,bring a counter-argument against one
προσκαταμένω,remain at a place afterwards
προσκαταμανθάνω,learn in addition
προσκαταμετρέω,measure out
προσκατανέμω,allot or assign besides
προσκατανοέω,note in addition
προσκατανόησις,perceiving besides
προσκαταξαίνω,cause to pine away
προσκαταξύω,engrave or embroider upon
προσκαταπήγνῡμι,fasten in besides
προσκαταπίμπρᾰμαι,to be burnt down besides
προσκαταπλάσσω,apply as a plaster
προσκαταπλήσσω,strike with terror besides
προσκαταποντόω,sink in the sea beside
προσκαταπράττω,accomplish besides
προσκαταπυκνόω,make still closer
προσκαταρρήγνῡμι,rend besides
προσκατασήπω,cause to putrefy besides
προσκατασκάπτω,undermine, destroy besides
προσκατασκευάζω,furnish or prepare besides
προσκατασκευαστικός,proving in addition
προσκατασπάω,draw down besides
προσκαταστρέφομαι,subject to oneself besides
προσκατασύρω,pull down besides
προσκατατάσσω,append, subjoin
προσκατατίθημι,pay down besides or as a further deposit
προσκατατείνω,stretch out or extend besides
προσκατατρέχω,overrun besides
προσκαταφθείρω,destroy besides
προσκαταφρονέω,despise besides
προσκαταφῠτεύω,plant in addition
προσκαταχέω,pour out still more
προσκαταχράομαι,kill besides
προσκαταχωρίζω,credit in addition, add
προσκαταψεύδομαι,tell more lies of
προσκατειλέω,wrap up against
προσκατεργάζομαι,accomplish besides
προσκατερείδομαι,to be pressed down besides
προσκατερείπω,complete the overthrow or ruin of
προσκατεσθίω,eat besides
προσκατεύχομαι,curse besides
προσκατηγορέω,accuse besides
προσκατοικίζω,remove to another settlement
προσκατορθόω,set up or establish besides
προσκατόμνῠμαι,swear besides
προσκατᾰλείφω,smear besides
προσκατᾰράομαι,curse besides
προσκατᾰριθμέω,reckon in, reckon together with
προσκαυλέω,shoot out like a stalk
προσκαυστικός,apt to burn
προσκείρομαι,shave oneself besides
προσκεδάννῡμι,scatter before
προσκενωτέον,one must evacuate besides
προσκενόω,empty, evacuate besides
προσκεπαστής,protector
προσκερδαίνω,gain in addition
προσκεφά̆λαιον,cushion for the head, pillow
προσκηδής,bringing into alliance or kindred
προσκηρύσσω,proclaim also
προσκηρῡκεύομαι,send a herald to
προσκιγκλίζομαι,wag one's tail
προσκινδῡνεύω,expose oneself to danger as well
προσκιχρῶ,accommodo
προσκλάομαι,to be shattered or shivered against
προσκλίνω,cause to lean against, place against
προσκλαίω,weep at or during
προσκλείω,accludo
προσκληρόω,allot, assign, attribute
προσκλητικός,calling, addressing
προσκλυστέον,one must lave
προσκλύζω,wash with waves
προσκλύστιος,he who dashes against
προσκλῐνής,sloping
προσκνάομαι,rub oneself against
προσκνήθω,scratch, tickle
προσκνυζάομαι,whine to
προσκογχῠλίζομαι,gargle
προσκοινωνέω,to be partaker
προσκοινόομαι,to be similarly attached
προσκολλάω,glue on or to
προσκολλίζομαι,attach
προσκομίζω,carry or convey to
προσκομιστέον,one must administer
προσκομιστικός,of or for conveyance
προσκομῐδή,oblation
προσκοπέω,consider beforehand, look to, provide for
προσκοπή,looking out for
προσκοπή1,looking out for
προσκοπή2,offence taken
προσκοπεύομαι,intend, look forward to
προσκοπητέον,one must consider beforehand
προσκοπτικός,ready to take offence
προσκορής,satiating, palling, tedious
προσκορίζομαι,annoy, tease
προσκοροδοφᾰγέω,eat garlic first
προσκοσμέω,adorn yet more, add ornament to
προσκοτέω,darken or cloud over beforehand
προσκουφίζομαι,to be relieved
προσκρίνω,adjudge or award
προσκρεμάννῡμι,hang
προσκρουστέον,one must give offence
προσκρουστικός,offensive
προσκρούω,knock against
προσκρᾰτύνω,strengthen additionally
προσκτάομαι,gain, get
προσκτίζω,build or found besides
προσκωμάζω,burst riotously in upon
προσκόλλημα,agglutination
προσκόλλησις,a glueing to, affixing
προσκόπιον,shade for the forehead and eyes, visor
προσκόπτω,strike
προσκόσμημα,additional ornament
προσκόσμησις,additional decoration
προσκύ̄ρωσις,confirmation
προσκύ̆νημα,act of worship
προσκύ̆νησις,adoration, obeisance
προσκύ̆ρησις,procuring
προσκύλλω,molest before
προσκύπτω,stoop to or over
προσκᾰκουργέω,do
προσκᾰκόω,injure besides
προσκᾰλέω,call on, summon
προσκᾰλεύω,dig out first
προσκᾰλινδέομαι,spend one's time among, haunt
προσκῐθᾰρίζω,accompany on the lyre
προσκῑνέομαι,move to or towards
προσκῠλίω,roll to, roll up
προσκῠλινδέομαι,roll to
προσκῠνέω,make obeisance
προσκῠνητέον,one must worship
προσκῠνητέος,adoranda
προσκῠνητήρ,faldstool
προσκῠνητής,worshipper
προσκῠνητός,to be worshipped, worshipful
προσκῠρέω,reach, arrive at
προσκῡμαίνω,dash against
προσκῡρόω,confirm
προσλάζῠμαι,take hold of besides
προσλάκκιον,overflow-pit
προσλάμπω,shine upon
προσλέγω,say in addition
προσλέχομαι,lie beside
προσλαγχάνω,obtain by lot besides
προσλαμβάνω,take or receive besides
προσλείπω,leave on
προσλειτουργέω,serve as well
προσλειόω,grind further
προσλεπτύνω,extenuo
προσλεύσσω,look on or at
προσληπτέον,one must add
προσληπτικός,assumptive
προσλογίζομαι,reckon or count in addition
προσλογεύω,exact in addition
προσλογισμός,encroachment
προσλογιστέον,one must reckon in addition
προσλογοποιέω,add in narrating
προσλοιδορέω,rail at besides
προσλυσσάω,rage against or at
προσλᾰλέω,talk to or with
προσλᾰλιά,affatus
προσλῐμενίζομαι,run into harbour
προσλῐπαίνω,enrich further
προσλῑπά̆ρησις,perseverance in
προσλῑπᾰρέω,keep close to
προσλῡμαίνομαι,destroy besides
προσμάρτῠρος,in aspect with
προσμάσσω,knead or plaster
προσμάχομαι,fight against
προσμάω,a
προσμέμφομαι,blame besides
προσμένω,bide, wait
προσμήχω,rub beforehand
προσμανθάνω,learn besides
προσμαρτύρομαι,call as witness
προσμαρτῠρέω,bear witness in addition
προσμαστῑγόω,whip or beat besides
προσμείγνῡμι,make to reach or touch
προσμειδιάω,smile upon
προσμελῳδέω,sing songs to or besides
προσμερίζω,apportion to
προσμεταδίδωμι,communicate as well
προσμεταπέμπομαι,send for or send to fetch besides
προσμετεωρίζω,raise besides or further
προσμετρέω,measure out to, join to
προσμηκύνω,provide as an extension, add
προσμηνύω,point out besides
προσμηχᾰνάομαι,to be cunningly fastened to or upon
προσμηχᾰνητέον,one must contrive besides
προσμισθόω,let out for hire besides
προσμοιράζω,allot to, assign
προσμοιχεύω,commit adultery in addition
προσμολεῖν,come or go to, arrive at
προσμολυβδοχοέω,attach by soldering
προσμύρομαι,make tearful lament in answer to
προσμᾰθητέον,one must learn besides
προσμῑσέω,hate besides
προσμῡθέομαι,address, accost
προσμῡθεύω,add further fictions
προσμῡθολογέω,talk or prattle with
προσμῡθοποιέω,invent mythically besides
προσνέμω,allot, assign, dedicate to
προσνέω,swim to or towards
προσνέω1,swim to or towards
προσνέω2,heap up against
προσνήχομαι,swim towards
προσνίσομαι,come or go to
προσναυπηγέω,build in addition
προσνεμητέον,one must allot
προσνεύω,incline or bend towards
προσνεᾱνῐεύομαι,add in youthful wantonness
προσνοέω,observe
προσνομίζω,bring into use or practise besides
προσνομοθετέω,ordain by law besides
προσνωμάω,approach
προσνῑκάω,use
προσξενολογέω,detail
προσξηραίνομαι,become dry besides
προσοίγνῡμι,shut
προσοίκειος,suitable
προσοίκησις,dwelling near
προσοίχομαι,have gone to
προσογκέω,gain in bulk
προσοδάρχων,treasurer
προσοδεύω,accrue
προσοδιάζω,receive as income
προσοδιακός,processional
προσοδικός,productive
προσοδοιπορέω,travel to
προσοδοποιός,law-court official, summoner
προσοδύρομαι,lament beside
προσοικέω,dwell by or near
προσοικίζω,found near or beside
προσοικειόω,assign to
προσοικοδομέω,build besides
προσοικοδομία,building of an annexe
προσοιμέομαι,approach
προσοιμώζω,lament
προσοιστέος,to be added to
προσοκέλλω,run
προσολοφύρομαι,wail to, vent one's griefs to
προσομαρτέω,go along with
προσομοιάζω,to be like
προσομοιόω,compare
προσομολογέω,concede or grant besides
προσομολογία,further admission
προσομόργνῠμαι,wipe off upon
προσομῑλέω,hold intercourse with, associate with
προσομῑλία,association
προσομῑλητικός,of or for intercourse with
προσονειδίζω,object as a reproach besides
προσονομάζω,call by a name
προσονομαστέον,one must apply the name
προσονομᾰσία,naming, appellation
προσονῠμάσδεσθαι,to be surnamed
προσοπτάω,bake in addition
προσοπτέον,one must look for
προσοράω,look at, behold
προσορέγω,reach
προσορέω,border on
προσορίζω,include within boundaries, add to a dominion
προσοργίζομαι,to be angry at
προσορμέω,come to anchor at
προσορμίζω,bring
προσορμιστήριον,anchorage
προσορχέομαι,dance to
προσοσφραίνω,give to smell
προσουδίζω,dash against or to the ground
προσουρέω,make water upon
προσοφείλω,owe besides or still
προσοφθαλμιάω,look with aching eyes at
προσοφλισκάνω,owe besides
προσοχή,attention
προσοχθίζω,to be wroth with
προσοχθισμός,offence
προσοχλέω,annoy or vex besides
προσοχῠρόω,strengthen besides or still more
προσοψίδιον,faciale
προσοψωνέω,add to the dishes already mentioned
προσπάθεια,passionate attachment
προσπάρειμι,to be present with besides
προσπάσσω,sprinkle upon
προσπάσχω,experience in addition
προσπάω,draw on
προσπέλᾰσις,bringing or coming near
προσπέμπω,send to
προσπέρδομαι,break wind at
προσπέτομαι,fly to or towards
προσπήγνῡμι,fix to or on
προσπίλνᾰμαι,approach
προσπίνω,drink besides or afterwards
προσπίπτω,fall upon, strike against
προσπίτνω,fall upon
προσπαίζω,play or sport with
προσπαθέω,feel passionate love for
προσπαθής,impressionable
προσπαιστέον,one must amuse oneself with
προσπαράκειμαι,to be attached or appended
προσπαράληψις,taking besides
προσπαρέχω,furnish, supply besides
προσπαρίσταμαι,bring to one's side, subdue besides
προσπαραβάλλομαι,dish up as well
προσπαραγγέλλω,order or enjoin besides
προσπαραγράφω,write besides, add
προσπαραδίδωμι,hand over besides
προσπαραδείκνῡμι,point out as belonging to
προσπαραινέω,encourage or exhort besides
προσπαραιρέομαι,take away besides
προσπαρακελεύομαι,exhort besides
προσπαρακᾰλέω,call in besides, invite
προσπαραλαμβάνω,employ as well
προσπαραληπτέον,one must include
προσπαραμένω,abide by
προσπαραμῡθέομαι,urge or exhort besides
προσπαραμῡθητέον,one must urge besides
προσπαραπήγνῡμι,fix beside in addition
προσπαρασκευάζω,prepare besides
προσπαρατίθημι,append, attach
προσπαρατρώγω,gnaw at the side besides
προσπαραφύομαι,to be attached at the side
προσπαραχωρέω,give up as well
προσπαρεισέρχομαι,come in besides
προσπαρεμβάλλω,throw in besides
προσπαροινέω,add a further indignity
προσπαροξύνω,cause additional pain or inflammation
προσπαρορμάω,incite besides
προσπασσᾰλεύω,nail fast to
προσπαστέον,one must sprinkle upon
προσπειράζω,make an attempt besides
προσπελάζω,cause to approach, bring near to
προσπελάτης,b
προσπεποιημένως,dissimulanter
προσπερίκειμαι,envelope besides
προσπεριβάλλω,put round besides
προσπεριγίγνομαι,accrue as additional advantage
προσπεριειλέω,wrap round besides
προσπεριεργάζομαι,busy oneself still further, inquire curiously
προσπερικόπτω,wheedle one out of in addition
προσπεριλαμβάνω,embrace or include besides
προσπεριοδεύω,survey and describe besides
προσπεριορίζομαι,include with besides
προσπεριποιέω,lay by or save besides
προσπερμεία,ritual sprinkling with corn-seed
προσπερονάω,fasten or attach by means of a pin
προσπεφῡκότως,clinging to
προσπηδάω,leap against or upon
προσπηλόω,close with clay
προσπηχύνομαι,take in one's arms or embrace besides
προσπικραίνω,become angry with
προσπιπράσκω,sell besides or at the same time
προσπιστεύω,believe besides
προσπλάζω,beat or knock against, touch
προσπλάσσω,form or mould upon
προσπλέκω,connect with
προσπλέω,sail towards or against
προσπλήσσω,strike
προσπλαστικός,sticking on
προσπλεκτέον,one must add, mix in
προσπλεονάζω,to be specially frequent or prevalent
προσπληρόω,fill up or complete
προσπλοκή,close embrace
προσπλωτός,accessible from the sea
προσπνέω,blow or breathe upon, inspire
προσποίημα,that which one takes to oneself unduly, pretence, assumption
προσποίησις,taking something to oneself, acquisition
προσπογγίζω,sponge beforehand
προσποθέω,desire to know besides
προσποιέω,make over to, add or attach to
προσποιη<σί>σοφος,making a pretence of wisdom
προσποιητής,simulator
προσποιητικός,making pretence to
προσποιητός,taken to oneself, assumed, affected, pretended
προσπολέω,attend, serve
προσπολεμέω,carry on war against
προσπολεμόομαι,make one's enemy besides, go to war with besides
προσπολῑτεύομαι,oppose in public life
προσπονέομαι,labour, toil
προσπορίζω,procure or supply besides
προσπορεύομαι,go to, approach
προσπορπᾱτός,fastened on or to with a
προσπράσσω,exact or demand besides
προσπρίασθαι,buy besides
προσπτήσσω,crouch or cower towards
προσπταίω,hurt by striking against
προσπτυγμάτιον,small compress or pad
προσπτύσσω,embrace
προσπτύω,spit upon
προσπυνθάνομαι,inquire or ascertain besides
προσπωλέω,sell besides
προσπόρισμα,corollary
προσπᾰλαίω,wrestle or struggle with
προσπῐέζω,press besides
προσπῐπίσκω,give to drink besides
προσπῠριάω,foment as well
προσπῠρόω,kindle or incense still more
προσράπτω,stitch or sew on
προσράσσω,dash against
προσρέπω,incline towards
προσρέω,flow towards a point, stream in, assemble
προσρήγνῡμι,dash or beat against
προσρίπτω,throw to
προσραίνω,Abh.Berl. Akad.
προσραντέον,one must besprinkle
προσραπτέον,one must sew on
προσρητέος,to be addressed, called
προσρητός,accosted, belonging to salutations
προσριζόφυλλος,with sessile leaves
προσριζόω,root, plant firmly
προσρυθμίζω,adapt, accommodate
προσρῑγόω,shiver besides
προσσέβω,worship, honour besides
προσσαίνω,fawn upon, coax
προσσαίρω,grin or snarl at
προσσεύω,rushing upon
προσσημαίνω,signify or indicate besides, connote
προσσημειόω,brand in addition
προσσκάπτω,throw up earth about
προσσκέλλω,grow dry in
προσσκηνέω,to be adjacent
προσσκοπέω,consider besides
προσσκώπτω,jeer besides
προσσκᾰλεύω,to have one's teeth scraped
προσσπάομαι,to be contracted
προσσπένδω,pour besides
προσσπαίρω,pant after
προσσπεύδω,to be eager besides
προσσπουδάζω,to be deeply engaged in
προσστάζω,drop on, shed over
προσστέλλω,bring close to
προσσταλτικός,reducing
προσσταυρόω,draw a stockade along or before
προσστείχω,go or come towards
προσστερνίζομαι,clasp to one's breast
προσστοχάζομαι,venture further experiments
προσστρώννῡμι,place additional foundation-courses in
προσστρᾰτοπεδεύω,encamp near
προσστᾰσιάζω,stir up to sedition
προσσυγχρίω,anoint besides
προσσυγχωρέω,agree in addition
προσσυλλαμβάνω,join or add to
προσσυμβάλλομαι,contribute to besides or at the same time
προσσυμπλέκω,entangle besides
προσσυνάγω,collect in addition, Yale Classical Studies
προσσυνάπτω,add besides
προσσυνίημι,understand besides
προσσυνίστημι,recommend further
προσσυναποβάλλω,lose besides
προσσυνεργέω,work with as well
προσσυνθερμαίνω,warm besides
προσσυνοικέω,settle with
προσσυνοικίζω,give
προσσυντίθεμαι,concert or agree besides
προσσυντελέω,finish in addition
προσσφάζω,slay at
προσσφίγγω,bind tightly
προσσφρᾱγίζω,seal as well
προσσχεδιάζω,add besides
προσσχητέον,one must attend
προσσωρεύω,heap up beside
προσσύρω,drag on or along
προσσώρευσις,piling up
προσσῐελίζω,spit upon
προσσῑτέω,feed also on
προσσῡκοφαντέω,slander besides
προσσῡλάω,steal or carry off in addition
προσσῡρίζω,give a signal to
προστά̆της,one who stands before, front-rank man
προστάς,part between the two antae
προστάσσω,place or post at
προστέγασμα,projecting roof, penthouse
προστέλλω,sends him forth as a champion
προστέμνω,cut also
προστένω,sigh or grieve beforehand
προστέρπω,delight or please besides
προστήκομαι,stick fast to, cling to
προστί̄μημα,additional penalty or fine
προστί̄μησις,infliction of a further penalty
προστίζιος,former, earlier
προστίθημι,put to
προστίκτω,bring forth besides
προστακτέον,one must order
προστακτικός,of or for commanding, imperative, imperious
προσταργᾰνόω,fasten to
προσταυρόω,draw a stockade in front of or along
προστεγαστήρ,provisional roofing
προστεγνόω,stop up before
προστειχίζω,include in the city-wall
προστεκμαίρομαι,judge of by further symptoms
προστεκμαρτέος,to be noticed besides
προστεκταίνομαι,add of one's own device
προστελέω,pay besides
προστερνίδιον,covering or ornament for the breast
προστεφᾰνόω,crown beforehand
προστεχνάομαι,devise besides
προστηθίδιος,breast-ornament
προστηθίς,ball of the foot
προστηρέω,keep watch
προστοιχειόω,place first as elementary
προστομίς,mouthpiece
προστοχάζομαι,predict
προστρέπω,turn towards
προστρέφω,bring up in
προστρέχω,run to or towards, come to
προστρίβω,rub on or against
προστρεβλόω,torture first
προστροπή,turning
προστρουθίζω,clean beforehand with
προστροχάζω,run to
προστροχαστής,obsequious person, sycophant
προστρωννύω,prosterno
προστρόπαιος,turning oneself towards
προστρᾰγῳδέω,exaggerate in tragic style
προστρᾰτεύω,serve as soldiers before
προστρᾰτηγέω,hold office of
προστρᾰχηλίζω,wrench the neck in wrestling
προστυγχάνω,obtain one's share of
προστόμιον,mouth
προστύ̆πωσις,shaping by pressure
προστύφω,thicken beforehand
προστᾰλαιπωρέω,hold out, persevere
προστᾰράσσω,trouble further
προστᾰσία,standing in front
προστᾰτέω,ruleover, lord it over
προστᾰτήριος,standing before
προστᾰτευτικός,of or for exercising authority
προστᾰτεύω,to be leader or ruler of
προστᾰτικός,of or for a
προστᾰφῐδόομαι,to be converted into raisins before
προστῐνάσσω,shake at
προστῑλάω,befoul with dung
προστῑμάω,award further penalty
προστῑμωρέω,assist besides
προστῠπής,adherent
προστῠπόω,mould to the shape of
προστῠχής,engaged in or acquainted with
προστῷον,portico
προσυβρίζω,maltreat besides
προσυγγίγνομαι,have an interview with
προσυγγράφομαι,write out before
προσυγχέω,throw into disorder before
προσυγχρίω,anoint beforehand
προσυζεύγνῡμι,yoke together beforehand
προσυλλέγομαι,assemble before
προσυλλογίζομαι,conclude by a prosyllogism
προσυλλογισμός,prosyllogism
προσυλλογιστέον,one must use a prosyllogism
προσυμβαίνω,happen before
προσυμβῐβάζω,accommodate beforehand
προσυμμίσγω,intermix first
προσυμνέω,sing besides
προσυμπάσσω,besprinkle first
προσυμφωνέω,harmonize beforehand
προσυμφύομαι,grow together before
προσυνάγω,arrive at a total beforehand
προσυνίστημι,recommend or praise before
προσυναίρεσις,antecedent aggregation
προσυναθροίζομαι,assemble together beforehand
προσυναιρέω,to be antecedently aggregated
προσυνεδρεύω,take counsel beforehand
προσυνοικέω,cohabit or live as wife with before
προσυντάσσω,arrange beforehand
προσυντίθεμαι,agree upon, arrange beforehand
προσυντελέω,complete before
προσυντρίβω,break in pieces before
προσυπάρχω,exist besides
προσυπέχω,to be answerable also for
προσυπαναπτύσσω,unfold besides
προσυπαντάω,meet with
προσυπαρκτέον,one must prescribe besides
προσυπεμφαίνω,indicate besides
προσυπερέχω,project beyond
προσυπερβάλλω,surpass
προσυπεργάζομαι,prepare the ground for
προσυπισχνέομαι,promise besides
προσυποβάλλω,place under, submit besides
προσυπογράφω,sketch out besides
προσυποδείκνῡμι,show besides
προσυποδεικτέον,one must show besides
προσυποθήγω,whet upon
προσυποκλίνω,place underneath
προσυπολαμβάνω,suppose besides
προσυπολογίζω,subtract besides
προσυπομένω,endure further
προσυπομιμνήσκω,remind
προσυπομνηστέον,one must mention besides
προσυπονοέω,suspect besides
προσυπονοητέον,one must note besides
προσυποπτεύω,suspect besides
προσυποστρώννῡμι,spread underneath
προσυποτάσσω,subjoin besides
προσυποτίθημι,put underneath besides
προσυποτοπέω,suspect besides
προσυπουργέω,assist in besides
προσυπόκειμαι,lie under besides
προσυπᾰκουστέον,one must understand, supply in thought
προσυπᾰκούω,listen to as well
προσυστέλλομαι,to be drawn up beforehand
προσυφάπτω,fix on beneath
προσυφίσταμαι,reply, rejoin
προσυφόω,raise still higher
προσφάγιον,PLond. ined.
προσφάγιον1,PLond. ined.
προσφάγιον2,victim sacrificed beforehand
προσφάζω,sacrifice beforehand
προσφέρω,bring to or upon, apply to
προσφίλεια,kindness, goodwill
προσφαίνομαι,appear besides
προσφερής,similar, like
προσφευκτέον,one must be liable to a prosecution besides
προσφεύγω,flee for refuge to
προσφθέγγομαι,call to, address
προσφθείρομαι,meet to one's own or another's hurt, meet in an evil hour
προσφθεγκτήριος,accosting
προσφθεγκτός,addressed, saluted
προσφθονέω,oppose through envy
προσφιλέω,approach so as to kiss
προσφιλής,dear, beloved
προσφλεγμαίνω,inflame as well
προσφοιτάω,go or come to frequently, resort to
προσφορά,bringing to, applying
προσφορέω,bring to, bring in
προσφορία,approach
προσφρᾱγίζω,seal beforehand
προσφωνέω,call or speak to, address
προσφωνήεις,addressing, capable of addressing
προσφωνημᾰτικός,usual in addressing
προσφωνητέον,one must address
προσφύγιον,refuge
προσφύρω,bedabble
προσφύω,cause to grow to
προσφώνημα,that which is addressed
προσφώνησις,addressing, address
προσφῐλοκᾰλέω,add from a love of splendour
προσφῐλονεικέω,vie with
προσφῐλοπονέω,maintain obstinately
προσφῐλοσοφέω,speculate further upon
προσφῐλοτεχνέω,employ further art
προσφῐλοτῑμέομαι,lavish money or enthusiasm upon
προσφῐλοφρονέομαι,make affectionate overtures to
προσφῠή,supernumerary teeth
προσφῠής,firmly attached by growth
προσφῠγή,refuge, asylum
προσφῠτεύω,plant besides
προσφῡράω,mix in
προσφῡσάω,blow upon
προσχάραιος,offered before the hearth
προσχάσκω,gape
προσχέω,pour to or on
προσχίζω,slit before or in front
προσχαίρω,rejoice at
προσχεθεῖν,hold before
προσχειμάζω,winter
προσχειρουργέω,accomplish in addition
προσχημᾰτίζομαι,make a pretext
